,comment,typeid,play,pic,subtitle,description,copyright,title,review,author,mid,created,length,video_review,aid,bvid,hide_click,is_pay,is_union_video,is_steins_gate,is_live_playback
56,465,171,122873,http://i1.hdslb.com/bfs/archive/6193882706d09b0835f73c90fc30b88f3dd3e593.jpg,,【2022LPL夏季赛】8月12日 周末补习班,1,【2022LPL夏季赛】8月12日 周末补习班,0,哔哩哔哩英雄联盟赛事,50329118,1660319208,86:48,3432,259411128,BV1Ca411o79y,False,0,0,0,0
57,67,171,37511,http://i0.hdslb.com/bfs/archive/b437b2e9eef1758981068b0619047090ffbe77d9.jpg,,【LPL夏季赛TOP5】8月12日：狂斧嗜血驰沙场 垂云倒海一棍开,1,【LPL夏季赛TOP5】8月12日：狂斧嗜血驰沙场 垂云倒海一棍开,0,哔哩哔哩英雄联盟赛事,50329118,1660319058,04:45,34,514381674,BV1Vg411k7HJ,False,0,0,0,0
58,306,171,89724,http://i0.hdslb.com/bfs/archive/78269e932fd29f29902c89c17f319b0a0d72b71f.jpg,,【LPL赛事速看】W10D5: IG让一追二击败LGD LNG二比零战胜WBG挺进季后赛,1,【LPL赛事速看】W10D5: IG让一追二击败LGD LNG二比零战胜WBG挺进季后赛,0,哔哩哔哩英雄联盟赛事,50329118,1660314820,23:59,527,599490819,BV1dB4y167sM,False,0,0,0,0
59,4439,171,726666,http://i0.hdslb.com/bfs/archive/c0acac30c50bfe4ed35457638a708fa02f1fb6fe.jpg,,【2022LPL夏季赛】8月12日 WBG vs LNG,1,【2022LPL夏季赛】8月12日 WBG vs LNG,0,哔哩哔哩英雄联盟赛事,50329118,1660310471,128:08,10838,899492141,BV1mN4y1G7S5,False,0,0,0,0
60,255,171,130554,http://i2.hdslb.com/bfs/archive/fc4d8c9b124b8e9d47c5e6f2c151270e564ae16a.jpg,,【2022LPL夏季赛】8月12日 IG vs LGD,1,【2022LPL夏季赛】8月12日 IG vs LGD,0,哔哩哔哩英雄联盟赛事,50329118,1660300505,162:46,743,814428459,BV1sG4y1e75b,False,0,0,0,0
61,49,171,51208,http://i2.hdslb.com/bfs/archive/08808032331b9acc962d0e4fc4d98f5f520c3540.jpg,,【LPL夏季赛TOP5】8月11日：飞石浮空墙幔破阵起 电光漫天雷霆神威降,1,【LPL夏季赛TOP5】8月11日：飞石浮空墙幔破阵起  电光漫天雷霆神威降,0,哔哩哔哩英雄联盟赛事,50329118,1660227422,03:19,38,344468567,BV1cd4y1P74q,False,0,0,0,0
62,102,171,55349,http://i2.hdslb.com/bfs/archive/9c450f4e516ac866590d4847985ad596adf8de8c.jpg,,【LPL赛事速看】W10D4:FPX完美收官二比零击败WE TT二比零轻取UP,1,【LPL赛事速看】W10D4:FPX完美收官二比零击败WE  TT二比零轻取UP,0,哔哩哔哩英雄联盟赛事,50329118,1660226821,18:10,184,644438502,BV13Y4y1c7p2,False,0,0,0,0
63,754,171,144479,http://i0.hdslb.com/bfs/archive/68f3e538442c79895b14717f02a5bf9516492b7a.jpg,,【2022LPL夏季赛】8月11日 TT vs UP,1,【2022LPL夏季赛】8月11日 TT vs UP,0,哔哩哔哩英雄联盟赛事,50329118,1660221628,117:46,501,259398083,BV1Da411o7nq,False,0,0,0,0
64,850,171,266434,http://i2.hdslb.com/bfs/archive/4b09ef5f5d73a3f9bc56c6bf741c93d867c04746.jpg,,【2022LPL夏季赛】8月11日 WE vs FPX,1,【2022LPL夏季赛】8月11日 WE vs FPX,0,哔哩哔哩英雄联盟赛事,50329118,1660213123,124:57,2421,471948772,BV1NT411A7o2,False,0,0,0,0
65,71,171,57496,http://i1.hdslb.com/bfs/archive/d92a227d8c0d69f8fc68cf0d5017b442bb176f36.jpg,,【LPL夏季赛TOP5】8月10日：深海冲击铁钩至 妖狐灵舞夺魂魄,1,【LPL夏季赛TOP5】8月10日：深海冲击铁钩至  妖狐灵舞夺魂魄,0,哔哩哔哩英雄联盟赛事,50329118,1660143849,04:04,53,216863256,BV1ta411P7WD,False,0,0,0,0
