排名,球员名,出手数
675,吉姆-福克斯,2611
676,托尼-阿伦,2588
677,詹姆斯-唐纳森,3105
678,罗恩-布鲁尔,2497
679,泰-劳森,2496
680,本-华莱士,2569
681,Kenny Sears,2465
682,马库斯-莫里斯,2327
683,约翰-巴格莱,2359
684,乌杜尼斯-哈斯勒姆,2640
685,卡尔迪维尔-琼斯,2554
686,菲尔-哈巴德,2672
687,萨穆埃尔-戴勒姆波特,2810
688,斯宾塞-霍伊斯,2451
689,鲍伯-维斯,2288
690,肯塔维奥斯-卡德维尔-波普,2230
691,罗德-希金斯,2483
692,泰伦斯-罗斯,2241
693,鲍伯-威尔克森,2256
694,特里-卡特利奇,2576
695,丹尼斯-罗德曼,2766
696,莫里斯-泰勒,2471
697,布莱恩-拉塞尔,2274
698,斯科特-斯凯尔斯,2290
699,迪克-马克圭尔,2048
700,拉里-齐格弗里德,2149
701,约翰-威廉姆斯,2353
702,杰克-乔治,1901
703,肯特-本森,2578
704,克莱德-李,2256
705,蒂姆-哈达威二世,2198
706,德怀特-琼斯,2459
707,里基-卢比奥,2030
708,Frankie Brian,1765
709,鲁本-帕特森,2678
710,莱昂内尔-西蒙斯,2242
711,贾莱德-杜德利,2402
712,弗拉迪米尔-拉德马诺维奇,2148
713,阿隆-麦基,2265
714,沃尔特-杜克斯,1912
715,约翰-道金斯,2361
716,奥图-摩尔,2336
717,鲁西奥斯-哈里斯,2194
718,史蒂夫-布雷克,2061
719,鲍伯-费里,2225
720,厄尔-沃特森,2112
721,迈克-詹姆斯,2139
722,克莱格-霍奇斯,2363
723,布兰登-巴斯,2558
724,拉苏-内斯特洛维奇,2570
725,杰拉德-亨德森,2249
726,安东尼奥-丹尼尔斯,2270
727,凯文-贾姆伯,2562
728,丹尼-格林,2155
729,杰夫-麦金尼斯,2189
730,埃迪-豪斯,2078
731,亨利-毕比,2149
732,特雷西-穆雷,2181
733,鲍伯-哈里森,1782
734,埃里克-斯诺,2144
