用户,转发数,评论数,点赞数,评论
电竞赛事猪,0,0,0,FPX英雄联盟手游分部#WRL2#第二届英雄联盟手游职业联赛 常规赛第一阶段W3D3#FPX击败JDG# 第五局高地关键时刻中路爆发团战，FPX奥拉夫和腕豪分别带领单人路和双人路纳什男爵buff兵线顺势推掉JDG水晶，拿下本场比赛的胜利。 电竞赛事猪的微博视频 
英雄联盟小灰,0,0,0,第二届英雄联盟手游职业赛联赛FPX 3-2 JDG第五局赛果：#WRL2##FPX击败JDG# 
电竞少女小欣,0,0,0,WRL英雄联盟手游联赛：FPX 3-2 JDG，恭喜FPX成功战胜JDG！#WRL2# #FPX击败JDG# 
游戏主播酱,0,0,0,【2022WRL2 FPX 3-2 JDG】恭喜FPX终结JDG五连胜！#WRL2# #FPX击败JDG# 
电竞安利姬,0,0,0,LOL手游联赛WRL 2 ：常规赛第一阶段比赛 ：FPX 3-2 JDG，恭喜FPX成功击败JDG！#WRL2# #FPX击败JDG# 
电竞游戏日常,1,0,2,LOL手游联赛WRL 2 ：FPX 3-2 JDG，恭喜FPX拿下决胜局，送给JDG赛季首败！#WRL2# #FPX击败JDG# 
电竞游戏日常,1,0,2,LOL手游联赛WRL 2 ：FPX 3-2 JDG，恭喜FPX拿下决胜局，送给JDG赛季首败！#WRL2# #FPX击败JDG# 
游戏圈神吐槽,0,0,0,英雄联盟手游赛事常规赛第一阶段比赛 ：FPX 3-2 JDG，恭喜FPX战胜JDG，打破JDG不败金身！#WRL2# #FPX击败JDG# 
电竞赛事猪,0,0,0,英雄联盟手游赛事#WRL2#第二届英雄联盟手游职业联赛 常规赛第一阶段W3D3#FPX对阵JDG# 赛中高能17分钟，山脉亚龙处爆发团战，卢锡安输出打满，@FPX英雄联盟手游分部 团战打出0换4。 电竞赛事猪的微博视频 
王沫沫Cute,0,0,1,【FPXvsJDG】第五场   赛后数据    MVP    FPX_0711#WRL2# #FPX击败JDG# #竞燃有我# 
LOL手游君,0,0,0,英雄联盟手游#WRL2##FPX对阵JDG#⭐第二届英雄联盟手游职业赛联赛⭐⭐11.4第二场第五局BP情况⭐又到了决赛时间，今日第二场比赛输赢就看本局，你觉得谁会是最后的胜利者？ 
王东来又回来了,0,0,0,#FPX对阵JDG##WRL2#第 4 局， FPX 咬牙反攻，将比分追成 2:2。本局 FPX 拿出了自己的绝活，赵信继续打出打野核心的打法，赵信不负众望，在比赛中横扫全掌，拿下 MVP ，也帮助 FPX 赢得比赛的胜利。这一局赵信的发挥非常不错，无论是抢资源还是推塔都打得非常快，从某种程度上说这也是 FPX 拼命的 ...全文
无言游戏,0,0,1,第四局赛果FPX 2:2 JDG#WRL2##FPX对阵JDG# 
英雄联盟手游辰熙,0,0,2,#英雄联盟手游#【职业联赛常规赛第一阶段W3D3】第四局决胜团，FPX默契配合打出1换5，带领上路兵线点掉JDG水晶，将比分追平，双方来到决胜局！#WRL2##FPX对阵JDG# 英雄联盟手游辰熙的微博视频 
ZN_幽魂,0,0,0,FPX这把真是把中野辅前中期拉满了啊JDG这把蔚的压力太大了啊FPX和JDG阵容六四开#WRL2# #FPX对阵JDG# 欢迎大家加群吹水英雄联盟手游吹水群 
i手游叔,0,0,0,【英雄联盟手游职业联赛#WRL2# 常规赛第一阶段W3D3】 中路团战：赵信大招分割战场，FPX团战打出1换3。#FPX对阵JDG##浪游创作营# i手游叔的微博视频 
电竞少女小欣,0,0,0,WRL英雄联盟手游联赛：FPX 2-2 JDG，恭喜FPX成功将比赛拖入决胜局！#WRL2# #FPX对阵JDG# 
游戏主播酱,0,0,0,【2022WRL2 FPX 2-2 JDG】恭喜FPX再度将比分扳平！#WRL2# #FPX对阵JDG# 
电竞安利姬,0,0,0,LOL手游联赛WRL 2 ：常规赛第一阶段比赛 ：FPX 2-2 JDG，恭喜FPX扳平比分，双方进入第五局！#WRL2# #FPX对阵JDG# 
游戏圈神吐槽,0,0,0,英雄联盟手游赛事常规赛第一阶段比赛 ：FPX 2-2 JDG，恭喜FPX扳平比分！#WRL2# #FPX对阵JDG# 
虎扑电竞,0,5,18,【JDG官方分享S12赛场应援返图：一路有你们同行，真是太好了】 JDG电子竞技俱乐部官博发布一组S12世界赛现场粉丝们的应援返图，原文如下：再次翻阅每张照片依然能清晰感受到满满的热情，由衷地感谢很多不远千里赶到现场支持的小伙伴。还有那些即使凌晨也准时守在屏幕前，在心里、在弹幕里为我们 ...全文
ZN_幽魂,1,1,2,JDG泰坦打野了我记得手游泰坦体验服我就打野可以的FPX这寒冰拉克丝下路中单还是个劫有点难受啊JDG和FPX阵容七三开吧#WRL2# #FPX对阵JDG# 欢迎大家加群吹水英雄联盟手游吹水群 
王沫沫Cute,0,0,1,【FPXvsJDG】第四场    BP#WRL2# #FPX对阵JDG# #竞燃有我# 
王东来又回来了,0,0,0,#FPX对阵JDG##WRL2#第 3 局 JDG 强势翻盘，再夺一次胜利。其实我这一局根本没想到 JDG 会赢，因为 FPX 整场比赛几乎都在压着 JDG 在打，只有最后那一波团战 FPX 一个失误，导致失败之后，被 JDG 一波推翻，反转太激烈了。所以关键的那波团战， JDG 的锐雯发挥真的太出色了，抓住了 FPX 露出的破绽 ...全文
