用户,转发数,评论数,点赞数,评论
likeaAvirgin,0,0,0,今天安排：早起去上空中瑜伽结束回家洗澡三点去吃饭实际行动：赖床点外卖看电锯人打游戏edg发大名单上吊发疯打车堵车五点还没到一会要被骂烦死了不活了 
项知足,0,1,38,EDG 我考古印象里只看过一次厂子直播生气骂喷子，就是喷子骂meiko直播声音太大了好像，刚刚有个姐妹给了我tp我重温发现明凯以前是真的很护田野怼了好多，那句有种你上韩服把我杀了然后说我是个菜逼，笑死我了。呜呜呜xhmkggybz话说厂子除了这次还有直播生气怼人过吗？附上姐妹给的tp  ...全文
肥肥_du,0,3,1,EDG能不能求一个TP有一场直播viper3被田野还是多多说了什么，然后他撒娇说不是我，反正不是我 
Hiklock-ing,0,0,1,北海道札幌小樽！EDG 日本·小樽 (Otaru) 
琴女你怎么骂人啊,1,8,18,LSB CL中单 FISHER 李淨太加入EDG.Y英雄联盟 
_芉樜_,0,22,23,EDG 无人在意的角落勇士已经五连败了 
我要想个霸气的名字,1,5,102,EDG搬运，怎么一家人都这么臭屁可爱啊😍 
阿渊,0,0,20,EDG阵容战力破210w了！ 
直播吧电竞,0,0,2,#NEST2022# NEST2022英雄联盟线上预选赛即将于11月10日与大家见面，当序幕拉开，英雄登场，将会呈现怎样的精彩？预选赛赛程：2022年11月10日至11月15日 队伍分组：A组：AL、BLG、iG、JDGB组：WE、OMG、UP、LNGC组：LGD、RNG、EDGD组：TT、TES、FPX赛制：14支队伍随机分 ...全文
吃瓜的空白,0,0,3,Doinb:我个人的想法，我觉得Viper，Scout他们两个如果还在国内找队伍的话，原来的俱乐部(EDG)肯定是对他们是最好的。因为第一，他们老板好，他们老板对电竞这一块是很支持的。第二，他们俱乐部在LPL已经搞了这么多年了，一直都做的特别好的，而且队伍人气也很高，然后选手都是认识的，他们这种级别的说 ...全文
杭州LGD大鹅,398,673,12683,#张角加入LGD# 【杭州LGD大鹅人员变动公告】很高兴向大家正式宣布，原@成都AG超玩会 主教练周宇 （ID：杭州LGD大鹅.张角）@张张角角角 现正式加入杭州LGD大鹅教练组，担任主教练一职。张角教练作为拥有丰富KPL执教经验的资深教练，曾任教于成都AG超玩会、上海EDG.M等多个战队，拥有丰富的赛训管理 ...全文
Fireloli赵志铭,541,610,2505,周末有幸参加 @奥地利RedBull X EDG ‘做自己的玩家’ 上海主题路演活动；第一次看完了兄弟们的挑战演出视频，还亲身体验了一把，雀食有点意思。再次感谢RED BULL品牌方的邀请，以及对EDG战队一如既往的支持；也欢迎各路小伙伴们一起加入这场主题巡演活动，赢取丰厚周边~11月4日-6日，上海长宁来福士 ...全文
司司礼,0,6,40,EDG 好紧张，明天就要夺冠了 
