用户,转发数,评论数,点赞数,评论
方生方思,0,25,15,rng 求tt兄弟们 让我呼吸一下11级的空气 
重生之我是奈德丽,0,2,0,我已经看了三遍那个纪录片了，自从rng比赛输了以后再也没看到过活的陈晨 
解说阿九,0,65,23,LPL转会期又爆瓜：TES疑似下批7000w，让郭皓去买选手，中单目前计划买Rookie，RNG改名为Dyg。#英雄联盟# #英雄联盟S12# 
可爱顺毛,0,14,9,rng今年nest看着就很精彩，会有一队的人上场(世界赛没回来的，就是把二队的临时往一队调) 
沙水成文,0,0,2,rng 亚雷，买个咖啡也来刀你爹？ 
解说小森,33,61,312,网友推测：英雄联盟亚运会LCK和LPL出征名单，RNG仅Wei入选，JackeyLove落选！#英雄联盟# #英雄联盟S12# 
觅青衫i,0,3,1,rng有没有苏州的软泥怪知道有无星期六营业的农业银行 
热气球马特,0,28,134,rng 藤井这是要薅秃我软啊 
190的郝先生i,0,1,26,EDG 看到零零碎碎的转会瓜，其实回想这一年我们真的很不容易，从春季赛打FPX 打WBG多多的沙皇，到被RNG翻盘 到夏季赛Viper  到打lng的塞拉斯 到资格赛枪宝TP绕后 jiejie 上场让二追三 再到世界赛妹的锤石这一年真的大家总能在关键时刻站出来 
超闪亮的彩虹p,0,12,13,rng 如果肥墩真走了，那我们是不是可以把咖妹找回来，直接爷青回 
游戏团,70,82,310,网友分析：LPL各大战队收视率，RNG为第一，同为全华班的TES收视率为第五。#英雄联盟# #英雄联盟S12# 
赋仙歌歌歌歌歌歌,0,5,1,rng 讲个题外话，家人们有用过css 油橄榄精华和夸迪绿次抛么，求真实效果 
夜空下的茉莉香,0,6,43,rng 其他超话：啊，我们这么有钱，要买谁买谁！要补强！老板给力点，把谁谁谁抢下来！        R超话：白🌟，你能不能去卖身啊，能不能集资啊，水滴筹都可以，留下一个是一个……原来，大家都知道，我们的5个人都是顶尖的，不需要补强，只需要坚持……之前多少人身在 ...全文
meomeola,0,2,16,rng小虎好像确实要转ad了 还点名要一个辅助才留队 好像叫什么麻薯 
青扈,0,21,18,rng这可不是普通的十连三黄，这可是原神里的十连三黄刻师傅出来的时候我的心都凉了半截啊呜呜呜呜呜谢谢你纳西妲我爱死你了 
游戏红人社,31,62,85,“RNG小虎未续约，WBG买红米”，LPL面临大洗牌，UZI：WEI要起飞从现在零零碎碎的消息来看，LPL将在这次转会期过后迎来一次大洗牌。首先来说说本次世界赛成绩最好的JDG战队，JDG战队的选手转会的可能性非常小，如果JDG预算充足的话最多也就是针对下路进行补强。毕竟hope和missing这对组合本次世界赛真 ...全文
不喝农夫山泉的大头,0,0,1,总觉得阿根廷的今年全网气氛渲染有股熟悉的感觉，刚上b站才想起来，跟18年内地宣传RNG的感觉有点像，多年无冠➕突然包揽能拿到的所有冠军 
还能记起多少,0,78,132,rng明天，老爸就要去医院做第四次化疗了，在医生通知出现耐药以后，心里原本对治疗变好期望渐渐又变成了初确诊时的担忧与恐惧，癌症就像一个恶魔，在一点点蚕食着老爸的生命力，而我，就像这头恶魔下面的一株蒺藜草，无力抵挡。对于很多人来说，现在的每一天只是一个普通的日子。而我，只能在 ...全文
英雄联盟神吐槽,27,104,750,【网友提问：今年世界赛最大的赢家会不会是BIN？】今年的MSI打完，就有一则重磅消息震惊了LPL，RNG上单的bin和BLG上单breathe，一时间所有人都在惋惜BIN的世界赛门票没了，而呼吸哥则被称为躺进世界赛。可事情的发展却没任何人想的到，身为MSI的冠军尽然要靠冒泡赛争夺最后一张门票，靠的还是 ...全文
十六开花16,1,10,15,rng 感谢@疾风怪宝 收到咯 
_SebajuN,0,35,76,rng 不用放图都有画面感的场景 果子➕龙宝➕小炮➕碗➕对视.jpg 
GNR丶B1ack,0,6,9,rng转会有消息了！真实保熟！！！上路8曾来过，打野04jug，替补打野抱紧小真，中路奶昔，下路k神+讨厌麻烦事 
小女孩看热剧,0,101,1,小女孩爱看剧#吴克群邀请RNG看演出# 先恭喜吴克群恭吴克群成团，也祝贺RNGM全员能被吴克群邀请去看她的演出，谁能不想去现场看吴克群的演出，开始期待吴克群与RNG全员带来的惊喜。#吴克群披荆斩棘成团# 
值班好辛苦,0,0,0,好久没上来了够黑寄给我好哦声音破起疑心坡起在老辛苦福地牛啦RNG一二嗅神经新坡热天类型首字母拒绝 
一个杯子Linda,0,79,254,rng说起这个二队中单，想到一件事了。RNG8年了，8年时间里居然没有一个主力队员来自自家青训，但是又在相当长的一段时间内维持一个较高的水平，除了RNG有钱我想不到合理的解释。 
虚假的二十二_OuO,0,14,21,rng我的认知里，我以为blg更倾向于k9阿肥的，这样看来队员好像多了几分留队的可能，白星，你的米呢？能不能争气点，麻溜点！然后只能说这个兵役诱惑太大！ 
青鸾电竞,29,43,260,LPL爆料人：RNG不解散 Xiaohu并不是100%跑路LPL爆料人“恋恋红茶”更博爆料，RNG不解散，队内合同到期的四个选手不可能全续但也不可能全跑，Xiaohu并不是100%跑路。该消息为网络流言，详细情况等待官方消息。#英雄联盟# 
撒一路黄连,0,16,5,rng 有没有用过米诺地尔的兄弟效果怎么样 
虎扑电竞,6,171,714,【JR投稿】世一瓜爆料汇总（不断更新ing）世一瓜爆料汇总：RNG除了上路全部到期了，好像都准备走LPL有新的LCK选手会来 没进世界赛 但季后赛成绩还可以有些选手想一起抱团打，但是俱乐部方面不同意今年转会期中单第一选择是Scout！国产的是XiaohuLWX不愁找工作 但不是一些俱乐部首选 现在最 ...全文
买君-,0,83,112,rng 新接一只小可爱。 公的公的 名字还没取，怎么说？各位安排一手？ 
买君-,0,27,18,rng 凌晨两点多从机场货运接回猫猫，然后把猫安顿好在阳台和另外一只猫。 封窗了的。 魔幻的事情来了，早晨猫就不见了。 。 我人傻了家里和楼下找了好多遍完全没找到。 关键我家还是住的12楼 
Mr_罗正发,0,0,1,doinb#英雄联盟# Doinb爆料RNG现状，小虎成自由人，除了上单可能全走！ Mr_罗正发的微博视频 
高兴的游戏世界,0,0,0,#Bin#赢在大气层！在家吃着火锅打着UFC！等着大合同掉下来就行！#RNG##英雄联盟##LPL# 高兴的游戏世界的微博视频 
一个杯子Linda,0,15,52,rng咱们这里似乎没人怀疑全华班本身 这跟隔壁是不同的 
Ccherry_,0,171,92,rng国产电视剧求推荐!!!!!!!! 
我的耳朵布隆225,0,0,1,rng又给偏远地区做了37块钱的贡献  刷分好累 
电竞姬,54,60,273,【如何评价上单虎和中单虎？】从S10夏季赛GALA来后开始看的RNG比赛，看到现在感觉还是上单小虎强从烂的方面比，S11小虎打过的比赛烂掉的局数是比今年少的，而且S赛上送的也没有今年多。从好的方面比，去年RNG的团战是比今年强的。感觉要不虎再去上路吧，就很明显感觉虎的中路并不出彩， ...全文
虎扑电竞,1,25,271,【直播】Leyan看到个弹幕笑死了：RNG人人懂法，Imp：啊？硬币哥什么意思#英雄联盟# 虎扑电竞的微博视频 
赶紧摆烂吧,0,2,11,rnggalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagalagala 
剧娱星潮流,20,20,20,#吴克群邀请RNG看演出# RNGM全员太幸运了，竟然被吴克群邀请去看他的演出，真诚努力的吴克群非常值得被爱，他越来越优秀了，吴克群已经在披荆斩棘成团了，相信他未来会更好的。#吴克群披荆斩棘成团# 
剧综小妹,20,20,20,#吴克群邀请RNG看演出#  看到吴克群邀请rng看演出很可以啊，吴克群很优秀一个人在很多方面都很独具特色的，成团夜的时候更让我印象深刻#吴克群披荆斩棘成团# 
娱哥爱追剧,20,20,20,#吴克群邀请RNG看演出# 吴克群每次都能带来的惊喜，没想到RNGM全员都是吴克群的粉丝，吴克群还邀请RNG看演出，好想看到他们的梦幻联动，屏幕前的我好羡慕RNG成员。#吴克群披荆斩棘成团# 
浪笑娱,20,20,20,#吴克群邀请RNG看演出# 看到吴克群披荆斩棘成团了我也是很开心，可以感受到再舞台上闪闪发光的他我内心也是很愉悦的，希望以后有机会可以去现场感受他的魅力。 #吴克群披荆斩棘成团# 
星圈花语,20,20,20,#吴克群邀请RNG看演出#  在披荆斩棘当中成团确实是蛮不容易的，但是我各群的努力我们一直都是有目共睹！对于舞台的这份热爱，也让我觉得非常nice#吴克群披荆斩棘成团# 
蜘蛛敲可耐,0,0,0,英雄联盟#英雄联盟# 兔玩电竞:Doinb透露小虎未与RNG续约成自由人 蜘蛛敲可耐的微博视频 
辣妹追剧,20,20,20,#吴克群邀请RNG看演出# 这祝福送的太好了，而且也感觉这是双向箭头的奔赴！弟弟们第一时间为哥哥送上祝贺，也分享了这份喜悦就觉得这关系太好了 #吴克群披荆斩棘成团# 
